epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4736.44,1.41662,1.19443,1.33389,0.74391,0.66647,0.74171,0.42482,1.28877,1.32347,1.19934,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4882.47,1.41168,1.18949,1.33085,0.74088,0.67584,0.74116,0.41923,1.31029,1.33227,1.20862,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5027.62,1.4134,1.19199,1.33162,0.74379,0.67588,0.74037,0.42261,1.29713,1.32955,1.20148,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5173.55,1.40325,1.17439,1.32758,0.74381,0.67453,0.74032,0.42472,1.29156,1.31033,1.19551,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5319.35,1.39193,1.16034,1.31558,0.74271,0.68507,0.74664,0.42668,1.28899,1.26923,1.19744,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5464.33,1.38726,1.15116,1.31314,0.73901,0.68285,0.74901,0.42817,1.28866,1.2082,1.19465,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5609.05,1.39009,1.15013,1.31632,0.74357,0.68437,0.75256,0.43224,1.28511,1.24203,1.18938,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5755.81,1.38801,1.14485,1.31161,0.75383,0.68148,0.75129,0.43167,1.2744,1.24939,1.18786,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5901.59,1.38376,1.13091,1.30928,0.75116,0.67983,0.75197,0.4359,1.26767,1.21298,1.18086,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6057.22,1.36026,1.10841,1.29815,0.74554,0.69119,0.7541,0.43732,1.27567,1.21719,1.18396,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6219.53,1.37647,1.12075,1.3049,0.77611,0.68306,0.75831,0.4386,1.27235,1.17994,1.18227,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6377.37,1.35831,1.09806,1.2955,0.76431,0.68453,0.75857,0.43783,1.28109,1.18772,1.18989,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6533.53,1.35812,1.09901,1.2984,0.75232,0.68721,0.76112,0.44132,1.26959,1.16571,1.18119,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6686.78,1.35845,1.09811,1.29444,0.75417,0.69059,0.76228,0.44242,1.27189,1.2197,1.17957,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6838.44,1.35905,1.09199,1.28926,0.74387,0.70121,0.76373,0.44119,1.27693,1.19565,1.17971,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6989.56,1.34435,1.06872,1.2787,0.75585,0.69767,0.7655,0.4434,1.27436,1.18667,1.17719,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7141.48,1.34061,1.06615,1.28177,0.75059,0.69746,0.76373,0.44549,1.27464,1.17282,1.17747,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7292.14,1.34481,1.06657,1.28075,0.74562,0.71049,0.76412,0.44614,1.27374,1.16925,1.17908,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7436.68,1.33907,1.05679,1.27618,0.75601,0.7067,0.76607,0.4485,1.27159,1.17085,1.17684,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7579.96,1.34266,1.05081,1.27672,0.75798,0.69834,0.76302,0.44679,1.26964,1.1571,1.17575,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7731.34,1.32623,1.04182,1.26903,0.75221,0.70286,0.7646,0.44842,1.26523,1.15575,1.17221,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7881.98,1.3274,1.03801,1.27214,0.76319,0.69479,0.76455,0.44746,1.2657,1.14564,1.174,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8029.51,1.32036,1.02273,1.26094,0.76662,0.6922,0.76509,0.44849,1.26624,1.12273,1.17486,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8175.4,1.32872,1.03374,1.26919,0.76794,0.69679,0.76691,0.4487,1.2667,1.11985,1.17468,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8320.52,1.30361,1.01594,1.25902,0.76456,0.69449,0.76818,0.4489,1.26524,1.12128,1.17402,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8466.07,1.31217,1.01312,1.25482,0.76572,0.69308,0.76702,0.44824,1.26582,1.12033,1.17292,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8611.44,1.30693,1.00266,1.25486,0.77305,0.68887,0.76723,0.44856,1.26573,1.10774,1.17206,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8757.06,1.30688,0.99235,1.24684,0.77708,0.68758,0.7672,0.44855,1.26391,1.10308,1.17224,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8909.89,1.29114,0.99079,1.24775,0.77014,0.69234,0.76844,0.44912,1.26497,1.10423,1.17406,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9056.1,1.29234,0.98494,1.24387,0.77036,0.69699,0.77063,0.44934,1.26475,1.10129,1.17327,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9203.61,1.28945,0.97415,1.24259,0.76956,0.69952,0.76981,0.44974,1.26481,1.0912,1.17253,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9350.01,1.27228,0.96662,1.2291,0.77004,0.70232,0.77125,0.45024,1.26477,1.0824,1.17269,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9494.97,1.27503,0.96624,1.23241,0.77149,0.70423,0.77175,0.45057,1.26386,1.07718,1.17121,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9638.61,1.27257,0.95397,1.23041,0.76881,0.70893,0.77336,0.45029,1.2647,1.07091,1.17211,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9780.9,1.26649,0.95941,1.22884,0.77035,0.71058,0.77175,0.45047,1.26508,1.06815,1.17256,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9924.21,1.27059,0.95418,1.23013,0.76735,0.71139,0.77213,0.45133,1.26557,1.06197,1.17343,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,10067.5,1.26653,0.94625,1.22019,0.76617,0.71247,0.77284,0.45215,1.26579,1.06227,1.17377,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,10220.2,1.25345,0.93422,1.2163,0.76341,0.71388,0.77308,0.45242,1.26684,1.06162,1.1753,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,10370.3,1.24808,0.92591,1.21106,0.7652,0.71268,0.77329,0.45185,1.26627,1.05487,1.17488,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10520.1,1.24339,0.91994,1.2153,0.76615,0.71023,0.77257,0.45191,1.26587,1.05258,1.17458,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10667.6,1.24797,0.91578,1.21494,0.76641,0.71431,0.77313,0.45228,1.26481,1.0531,1.17426,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10815.4,1.23365,0.90065,1.20272,0.76934,0.70684,0.77224,0.45265,1.26449,1.0546,1.1747,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10962.8,1.23674,0.8977,1.20373,0.76523,0.71047,0.7726,0.45256,1.26453,1.05236,1.1749,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,11110.4,1.23766,0.89826,1.20035,0.76531,0.71213,0.77351,0.45269,1.26526,1.05454,1.17531,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,11259.3,1.22738,0.89383,1.19562,0.76504,0.71052,0.77227,0.45285,1.26591,1.053,1.17567,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11406.6,1.22483,0.8869,1.20182,0.76464,0.7095,0.77318,0.45283,1.26513,1.0521,1.17556,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11555.2,1.20608,0.86251,1.18889,0.7669,0.70983,0.77386,0.45329,1.26447,1.04931,1.17553,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11700,1.21508,0.86894,1.18979,0.7694,0.70639,0.77389,0.4533,1.26443,1.04775,1.17576,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11847.3,1.20486,0.86542,1.18774,0.76819,0.70766,0.77401,0.45299,1.26443,1.0465,1.17563,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11991.9,1.20477,0.856,1.1815,0.77336,0.70638,0.77467,0.45329,1.26391,1.04476,1.1752,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12137.8,1.2011,0.84946,1.17993,0.77246,0.70771,0.7752,0.45358,1.26343,1.04202,1.17468,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,12285.2,1.2014,0.84787,1.1817,0.77282,0.70962,0.7753,0.45441,1.26405,1.04037,1.17495,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,12431,1.18835,0.8388,1.17801,0.77092,0.71237,0.77625,0.4539,1.26426,1.03924,1.17462,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,12582.3,1.18688,0.8362,1.1748,0.77982,0.70391,0.77657,0.45442,1.26436,1.03832,1.17439,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,12735.5,1.18288,0.83147,1.17121,0.78183,0.70226,0.77694,0.45464,1.26496,1.03709,1.17482,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,12883.2,1.17287,0.82361,1.16767,0.76939,0.71358,0.77599,0.45453,1.26518,1.03696,1.17528,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,13025.6,1.1691,0.81669,1.16889,0.77421,0.71303,0.77571,0.45433,1.2662,1.03568,1.17574,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,13169.1,1.16804,0.8161,1.16489,0.78036,0.706,0.77534,0.45431,1.26657,1.0346,1.17607,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,13311.3,1.16275,0.81168,1.16201,0.77928,0.70514,0.77529,0.45461,1.26697,1.0333,1.1762,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13446.8,1.18341,0.75782,1.17625,0.77876,0.70434,0.77423,0.45447,1.2668,1.03023,1.17622,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13579.9,1.15597,0.72519,1.15173,0.77641,0.70691,0.77397,0.45479,1.26681,1.02808,1.17638,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13713.8,1.14693,0.7202,1.15156,0.77535,0.70938,0.77306,0.45465,1.26693,1.02529,1.17681,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13847.5,1.14287,0.71027,1.14886,0.77817,0.70672,0.77232,0.4543,1.26724,1.02227,1.17712,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13980.5,1.12913,0.69943,1.14093,0.77508,0.71018,0.77289,0.45493,1.26709,1.01916,1.17745,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14112.8,1.12298,0.68607,1.13123,0.77301,0.71303,0.77285,0.45425,1.26726,1.01589,1.1772,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14245.2,1.11694,0.67579,1.12976,0.77675,0.71008,0.7732,0.45456,1.2675,1.01374,1.17735,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14379.3,1.1102,0.67068,1.124,0.77715,0.71012,0.77346,0.45411,1.26783,1.01107,1.17772,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,14514.9,1.10264,0.66832,1.12228,0.77727,0.70983,0.77281,0.45404,1.26792,1.00868,1.17812,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,14651,1.09833,0.65992,1.1212,0.77836,0.71013,0.77397,0.45405,1.26808,1.00647,1.17836,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
